System,Chains,Sweeps,Accuracy
JAGS,6,13,1
JAGS,7,13,1
JAGS,8,13,1
JAGS,9,13,1
JAGS,10,13,1
JAGS,11,13,1
JAGS,12,13,1
JAGS,13,13,1
JAGS,14,13,1
JAGS,15,13,1
JAGS,16,13,1
JAGS,17,13,1
JAGS,18,13,1
JAGS,19,13,1
JAGS,20,13,1
JAGS,21,13,1
JAGS,22,13,1
JAGS,23,13,1
JAGS,24,13,1
JAGS,25,13,1
JAGS,26,13,1
JAGS,27,13,1
JAGS,28,13,1
JAGS,29,13,1
JAGS,30,13,1
JAGS,31,13,1
JAGS,32,13,1
JAGS,33,13,1
JAGS,34,13,1
JAGS,35,13,1
JAGS,36,13,1
JAGS,37,13,1
JAGS,38,13,1
JAGS,39,13,1
JAGS,40,13,1
JAGS,1,14,1
JAGS,2,14,1
JAGS,3,14,0.996
JAGS,4,14,1
JAGS,5,14,1
JAGS,6,14,1
JAGS,7,14,1
JAGS,8,14,1
JAGS,9,14,1
JAGS,10,14,1
JAGS,11,14,1
JAGS,12,14,1
JAGS,13,14,1
JAGS,14,14,1
JAGS,15,14,1
JAGS,16,14,1
JAGS,17,14,1
JAGS,18,14,1
JAGS,19,14,1
JAGS,20,14,1
JAGS,21,14,1
JAGS,22,14,1
JAGS,23,14,1
JAGS,24,14,1
JAGS,25,14,1
JAGS,26,14,1
JAGS,27,14,1
JAGS,28,14,1
JAGS,29,14,1
JAGS,30,14,1
JAGS,31,14,1
JAGS,32,14,1
JAGS,33,14,1
JAGS,34,14,1
JAGS,35,14,1
JAGS,36,14,1
JAGS,37,14,1
JAGS,38,14,1
JAGS,39,14,1
JAGS,40,14,1
JAGS,1,15,1
JAGS,2,15,1
JAGS,3,15,1
JAGS,4,15,1
JAGS,5,15,1
JAGS,6,15,1
JAGS,7,15,1
JAGS,8,15,1
JAGS,9,15,1
JAGS,10,15,1
JAGS,11,15,1
JAGS,12,15,1
JAGS,13,15,1
JAGS,14,15,1
JAGS,15,15,1
JAGS,16,15,1
JAGS,17,15,1
JAGS,18,15,1
JAGS,19,15,1
JAGS,20,15,1
JAGS,21,15,1
